"Statistic","Year","County and Region","UNIT","VALUE"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Southern","Euro Million","20038"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Mid-West","Euro Million","6175"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Clare","Euro Million","1512"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Limerick","Euro Million","2704"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Tipperary","Euro Million","1959"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","South-East","Euro Million","4902"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Carlow","Euro Million","637"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Kilkenny","Euro Million","1097"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Wexford","Euro Million","1581"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Waterford","Euro Million","1586"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","South-West","Euro Million","8961"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Cork","Euro Million","7386"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Kerry","Euro Million","1575"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Eastern and Midland","Euro Million","36120"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Dublin","Euro Million","22797"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Mid-East","Euro Million","9898"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Kildare","Euro Million","3441"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Louth","Euro Million","1739"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Meath","Euro Million","2672"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Wicklow","Euro Million","2046"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Midland","Euro Million","3425"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Laois","Euro Million","928"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Longford","Euro Million","427"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Offaly","Euro Million","947"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Westmeath","Euro Million","1122"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2006","State","Euro Million","72242"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2006","Northern and Western","Euro Million","10522"
