"Statistic","Year","County and Region","UNIT","VALUE"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Longford","Euro Million","13"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Offaly","Euro Million","27"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Westmeath","Euro Million","34"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","State","Euro Million","2417"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Northern and Western","Euro Million","361"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Border","Euro Million","156"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Leitrim","Euro Million","13"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Sligo","Euro Million","32"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Cavan","Euro Million","29"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Donegal","Euro Million","56"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Monaghan","Euro Million","27"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","West","Euro Million","205"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Galway","Euro Million","117"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Mayo","Euro Million","59"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Roscommon","Euro Million","28"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Southern","Euro Million","750"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Mid-West","Euro Million","234"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Clare","Euro Million","58"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Limerick","Euro Million","101"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Tipperary","Euro Million","76"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","South-East","Euro Million","185"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Carlow","Euro Million","23"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Kilkenny","Euro Million","42"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Wexford","Euro Million","60"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Waterford","Euro Million","60"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","South-West","Euro Million","331"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Cork","Euro Million","267"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Kerry","Euro Million","64"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Eastern and Midland","Euro Million","1306"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Dublin","Euro Million","833"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Mid-East","Euro Million","343"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Kildare","Euro Million","117"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Louth","Euro Million","62"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Meath","Euro Million","88"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Wicklow","Euro Million","76"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Midland","Euro Million","129"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Laois","Euro Million","34"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Longford","Euro Million","17"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Offaly","Euro Million","35"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Westmeath","Euro Million","44"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","State","Euro Million","2736"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","Northern and Western","Euro Million","419"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","Border","Euro Million","183"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","Leitrim","Euro Million","15"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","Sligo","Euro Million","37"
