"Statistic","Year","Type of Dwelling","Region and County","UNIT","VALUE"
"Total Floor Area for which Permission Granted","1985","One off houses","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","State","000 Sq Metres","138"
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Private flats/apartments","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","State","000 Sq Metres","1464"
"Total Floor Area for which Permission Granted","1986","Houses","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1986","Houses","Dublin","000 Sq Metres",""
